
2025/05/07 (11:45:33) | ===> btop++ v.1.4.0
2025/05/07 (11:45:33) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/05/07 (11:46:07) | WARNING: Failed to join _runner thread on exit!

2025/05/07 (11:47:04) | ===> btop++ v.1.4.0
2025/05/07 (11:47:04) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/05/07 (11:47:54) | WARNING: Failed to join _runner thread on exit!

2025/05/07 (11:48:22) | ===> btop++ v.1.4.0
2025/05/07 (11:48:22) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/05/07 (11:48:23) | WARNING: Failed to join _runner thread on exit!

2025/05/07 (11:48:41) | ===> btop++ v.1.4.0
2025/05/07 (11:48:41) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/05/07 (11:48:43) | WARNING: Failed to join _runner thread on exit!
